SPECIES_GENDER	CUSTOMIZATION_GROUP	IS_COLOR_LINKED_TO_HAIR	IS_COLOR_LINKED_TO_BODY	LOOK_AT_BONE	ZOOM_FACTOR
talz_male	face	0	0	head	1.1
talz_male	eyes_nose	0	0	head	1.1
talz_male	body	0	0	root	1
duros_male	freckles	0	0	head	1.1
duros_male	face	0	0	head	1.1
duros_male	eyes_nose	0	0	head	1.1
duros_male	body	0	0	root	1
hutt_male	face	0	0	head	1.1
hutt_female	face	0	0	head	1.1
hutt_female	body	0	0	root	1
hutt_male	body	0	0	root	1
kel_dor_male	hair	1	0	root	1
arcona_male	freckles	0	0	head	1.1
arcona_male	face	0	0	head	1.1
arcona_male	eyes_nose	0	0	head	1.1
arcona_male	body	0	0	root	1
abyssin_male	freckles	0	0	head	1.1
abyssin_male	face	0	0	head	1.1
abyssin_male	eyes_nose	0	0	head	1.1
abyssin_male	body	0	0	root	1
cerean_male	freckles	0	0	head	1.1
cerean_male	face	0	0	head	1.1
cerean_male	eyes_nose	0	0	head	1.1
cerean_male	body	0	0	root	1
marauder_female	body	0	0	root	1
marauder_female	eyes_nose	0	0	head	1.1
marauder_female	face	0	0	head	1.1
marauder_female	cosmetic	0	0	head	1.1
marauder_male	freckles	0	0	head	1.1
marauder_male	face	0	0	head	1.1
marauder_male	eyes_nose	0	0	head	1.1
marauder_male	body	0	0	root	1
iktotchi_male	freckles	0	0	head	1.1
iktotchi_male	face	0	0	head	1.1
iktotchi_male	eyes_nose	0	0	head	1.1
iktotchi_male	body	0	0	root	1
kel_dor_male	freckles	0	0	head	1.1
kel_dor_male	face	0	0	head	1.1
kel_dor_male	eyes_nose	0	0	head	1.1
kel_dor_male	body	0	0	root	1
kubaz_male	freckles	0	0	head	1.1
kubaz_male	face	0	0	head	1.1
kubaz_male	eyes_nose	0	0	head	1.1
kubaz_male	body	0	0	root	1
kadassa_male	freckles	0	0	head	1.1
kadassa_male	face	0	0	head	1.1
kadassa_male	eyes_nose	0	0	head	1.1
kadassa_male	body	0	0	root	1
jenet_male	freckles	0	0	head	1.1
jenet_male	face	0	0	head	1.1
jenet_male	eyes_nose	0	0	head	1.1
jenet_male	body	0	0	root	1
klatooinian_male	freckles	0	0	head	1.1
klatooinian_male	face	0	0	head	1.1
klatooinian_male	eyes_nose	0	0	head	1.1
klatooinian_male	body	0	0	root	1
